env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb,significant_hb_seed_level
Tiger,Reward,Myopic,Planning,-7.148,"[-8.204, -6.092]",5.186,"[4.936, 5.408]",-12.334,-0.43786166540246974,-21.893083270123483,8.100662053924646e-104,5,1.9659532721994075e-07,-17.061563461976,True,True
Tiger,Reward,Myopic,InfoGain-Tuned,-7.148,"[-8.204, -6.092]",5.186,"[4.936, 5.408]",-12.334,-0.43786166540246974,-21.893083270123483,8.100662053924646e-104,5,1.9659532721994075e-07,-17.061563461976,True,True
Tiger,Reward,Myopic,Planning+IG,-7.148,"[-8.204, -6.092]",4.2112,"[4.078, 4.328]",-11.3592,-0.4099087366638484,-20.49543683319242,1.7653663109146195e-91,5,5.635774626079421e-06,-17.31292507632599,True,True
Tiger,Reward,Myopic,EFE,-7.148,"[-8.204, -6.092]",5.186,"[4.936, 5.408]",-12.334,-0.43786166540246974,-21.893083270123483,8.100662053924646e-104,5,1.9659532721994075e-07,-17.061563461976,True,True
Tiger,Reward,Myopic,Thompson,-7.148,"[-8.204, -6.092]",3.7912,"[3.246, 4.323]",-10.9392,-0.3552350232665375,-17.761751163326874,1.6250456005278629e-69,5,4.728324847204514e-08,-12.970576524718643,True,True
Tiger,Reward,Planning,InfoGain-Tuned,5.186,"[4.936, 5.408]",5.186,"[4.936, 5.408]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Reward,Planning,Planning+IG,5.186,"[4.936, 5.408]",4.2112,"[4.078, 4.328]",0.9748000000000001,0.14438658935280926,7.219329467640463,5.604757367000324e-13,5,0.006635581344219606,2.7929902138934564,True,False
Tiger,Reward,Planning,EFE,5.186,"[4.936, 5.408]",5.186,"[4.936, 5.408]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Reward,Planning,Thompson,5.186,"[4.936, 5.408]",3.7912,"[3.246, 4.323]",1.3948,0.0927935085470889,4.639675427354445,3.533913121881173e-06,5,0.011453680530499019,2.198156198044662,True,False
Tiger,Reward,InfoGain-Tuned,Planning+IG,5.186,"[4.936, 5.408]",4.2112,"[4.078, 4.328]",0.9748000000000001,0.14438658935280926,7.219329467640463,5.604757367000324e-13,5,0.006635581344219606,2.7929902138934564,True,False
Tiger,Reward,InfoGain-Tuned,EFE,5.186,"[4.936, 5.408]",5.186,"[4.936, 5.408]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Reward,InfoGain-Tuned,Thompson,5.186,"[4.936, 5.408]",3.7912,"[3.246, 4.323]",1.3948,0.0927935085470889,4.639675427354445,3.533913121881173e-06,5,0.011453680530499019,2.198156198044662,True,False
Tiger,Reward,Planning+IG,EFE,4.2112,"[4.078, 4.328]",5.186,"[4.936, 5.408]",-0.9748000000000001,-0.14438658935280926,-7.219329467640463,5.604757367000324e-13,5,0.006635581344219606,-2.7929902138934564,True,False
Tiger,Reward,Planning+IG,Thompson,4.2112,"[4.078, 4.328]",3.7912,"[3.246, 4.323]",0.41999999999999993,0.029669543184517987,1.4834771592258993,0.13797920209531384,5,0.2936413655374048,0.753721069322892,False,False
Tiger,Reward,EFE,Thompson,5.186,"[4.936, 5.408]",3.7912,"[3.246, 4.323]",1.3948,0.0927935085470889,4.639675427354445,3.533913121881173e-06,5,0.011453680530499019,2.198156198044662,True,False
Tiger,Success,Myopic,Planning,0.8532,"[0.844, 0.863]",0.9944,"[0.992, 0.996]",-0.1412,-0.5520416486438476,-27.60208243219238,1.0909412985791284e-161,5,6.491505122897247e-08,-21.659091285049737,True,True
Tiger,Success,Myopic,InfoGain-Tuned,0.8532,"[0.844, 0.863]",0.9944,"[0.992, 0.996]",-0.1412,-0.5520416486438476,-27.60208243219238,1.0909412985791284e-161,5,6.491505122897247e-08,-21.659091285049737,True,True
Tiger,Success,Myopic,Planning+IG,0.8532,"[0.844, 0.863]",0.9988,"[0.998, 1.000]",-0.14560000000000006,-0.5789971249173935,-28.94985624586967,4.943261558570367e-177,5,1.586955280298002e-06,-24.54087499366202,True,True
Tiger,Success,Myopic,EFE,0.8532,"[0.844, 0.863]",0.9944,"[0.992, 0.996]",-0.1412,-0.5520416486438476,-27.60208243219238,1.0909412985791284e-161,5,6.491505122897247e-08,-21.659091285049737,True,True
